"word" "freq"
"tagvouvoiement" "tagvouvoiement" 1062
"pour" "pour" 1044
"les" "les" 897
"des" "des" 737
"est" "est" 679
"pas" "pas" 518
"une" "une" 461
"nous" "nous" 455
"tagtutoiementgtutoiement" "tagtutoiementgtutoiement" 444
"sur" "sur" 435
"que" "que" 420
"utc" "utc" 402
"plus" "plus" 301
"qui" "qui" 300
"avec" "avec" 250
"dans" "dans" 242
"tous" "tous" 221
"tagtutoiement" "tagtutoiement" 218
"par" "par" 201
"tout" "tout" 182
"cettagtutoiementgtutoiement" "cettagtutoiementgtutoiement" 173
"bien" "bien" 158
"notre" "notre" 149
"soir" "soir" 149
"faire" "faire" 148
"demain" "demain" 147
"sont" "sont" 146
"alors" "alors" 142
"toi" "toi" 134
"pic" "pic" 133
"mais" "mais" 131
"place" "place" 124
"assos" "assos" 122
"bde" "bde" 118
"viens" "viens" 115
"salut" "salut" 113
"vous" "vous" 113
"aux" "aux" 111
"encore" "encore" 111
"asso" "asso" 107
"être" "être" 106
"soirée" "soirée" 102
"aussi" "aussi" 101
"sera" "sera" 98
"places" "places" 86
"mars" "mars" 84
"fait" "fait" 82
"semestre" "semestre" 82
"équipe" "équipe" 81
"semaine" "semaine" 80
"venir" "venir" 80
"attagtutoiementgtutoiementnd" "attagtutoiementgtutoiementnd" 77
"journée" "journée" 77
"lieu" "lieu" 77
"venez" "venez" 76
"gala" "gala" 75
"son" "son" 74
"étagtutoiementgtutoiementdiants" "étagtutoiementgtutoiementdiants" 73
"aura" "aura" 70
"billettagtutoiementgtutoiementrie" "billettagtutoiementgtutoiementrie" 70
"deux" "deux" 70
"events" "events" 70
"toutagtutoiementgtutoiement" "toutagtutoiementgtutoiement" 70
"voir" "voir" 70
"même" "même" 69
"petit" "petit" 69
"samedi" "samedi" 69
"mercredi" "mercredi" 67
"shotgun" "shotgun" 67
"avant" "avant" 66
"infos" "infos" 65
"mail" "mail" 65
"merci" "merci" 65
"après" "après" 64
"pmde" "pmde" 64
"prendre" "prendre" 64
"déjà" "déjà" 62
"donc" "donc" 62
"mai" "mai" 62
"sitagtutoiementgtutoiement" "sitagtutoiementgtutoiement" 62
"festagtutoiementgtutoiementpic" "festagtutoiementgtutoiementpic" 61
"ont" "ont" 61
"découvrir" "découvrir" 60
"juin" "juin" 60
"nos" "nos" 60
"polar" "polar" 60
"avoir" "avoir" 59
"jeudi" "jeudi" 59
"nombreux" "nombreux" 58
"tagtutoiementgtutoiements" "tagtutoiementgtutoiements" 57
"très" "très" 57
"jda" "jda" 56
"leur" "leur" 56
"avez" "avez" 55
"entre" "entre" 53
"année" "année" 52
"lundi" "lundi" 52
"ses" "ses" 52
"bonjour" "bonjour" 51
"lien" "lien" 51
"tagtutoiementgtutoiementmps" "tagtutoiementgtutoiementmps" 51
"besoin" "besoin" 50
"ici" "ici" 50
"perm" "perm" 50
"ptagtutoiementgtutoiement" "ptagtutoiementgtutoiement" 50
"toujours" "toujours" 50
"veux" "veux" 50
"amphi" "amphi" 49
"autres" "autres" 49
"ceux" "ceux" 49
"groupe" "groupe" 49
"oubliez" "oubliez" 49
"aujourd" "aujourd" 48
"hui" "hui" 48
"jusqu" "jusqu" 48
"monde" "monde" 48
"peu" "peu" 48
"pouvez" "pouvez" 48
"toutagtutoiementgtutoiements" "toutagtutoiementgtutoiements" 48
"événement" "événement" 47
"ils" "ils" 47
"midi" "midi" 47
"oui" "oui" 47
"sans" "sans" 47
"seront" "seront" 47
"bière" "bière" 46
"bon" "bon" 46
"été" "été" 46
"hésitagtutoiementgtutoiementz" "hésitagtutoiementgtutoiementz" 46
"présentagtutoiementtion" "présentagtutoiementtion" 46
"resp" "resp" 46
"bisous" "bisous" 45
"elle" "elle" 45
"tagtutoiementgtutoiementagtutoiementm" "tagtutoiementgtutoiementagtutoiementm" 45
"êtagtutoiementgtutoiements" "êtagtutoiementgtutoiements" 44
"non" "non" 44
"occasion" "occasion" 44
"participer" "participer" 44
"peux" "peux" 44
"fin" "fin" 43
"tremplin" "tremplin" 43
"bonne" "bonne" 42
"grand" "grand" 42
"partir" "partir" 42
"concours" "concours" 41
"festagtutoiementgtutoiement" "festagtutoiementgtutoiement" 41
